County,REP,DEM,LIB,Votes,Voters,TurnOut
FANNIN,8569,2107,74,10750,20756,0.5179
FAYETTE,8228,2198,53,10479,16626,0.6303
FISHER,1139,340,15,1494,2682,0.557
FLOYD,1394,476,9,1879,3965,0.4739
FOARD,321,113,1,435,913,0.4765
FORT BEND,111423,142399,1616,255438,431832,0.5915
FRANKLIN,3300,639,35,3974,6807,0.5838
FREESTONE,5243,1279,40,6562,11978,0.5478
FRIO,1636,2016,28,3680,8606,0.4276
GAINES,3317,513,19,3849,8921,0.4315
GALVESTON,67641,45065,916,113622,212630,0.5344
GARZA,1068,203,16,1287,2712,0.4746
GILLESPIE,9890,2572,81,12543,19294,0.6501
GLASSCOCK,513,37,4,554,782,0.7084
GOLIAD,2326,717,29,3072,5597,0.5489
GONZALES,4173,1421,31,5625,12210,0.4607
GRAY,5246,615,40,5901,12493,0.4723
GRAYSON,31655,11157,332,43144,80863,0.5335
GREGG,24569,11133,234,35936,69893,0.5142
GRIMES,6499,2037,71,8607,16176,0.5321
GUADALUPE,33938,20079,554,54571,100552,0.5427
HALE,5360,1970,62,7392,19170,0.3856
HALL,807,161,3,971,1987,0.4887
HAMILTON,2795,507,28,3330,5611,0.5935
HANSFORD,1552,138,20,1710,3034,0.5636
HARDEMAN,973,185,4,1162,2459,0.4725
HARDIN,17391,2636,71,20098,38259,0.5253
HARRIS,498902,700200,8652,1207754,2338460,0.5165
HARRISON,16226,6245,122,22593,44462,0.5081
HARTLEY,1467,153,4,1624,2875,0.5649
HASKELL,1362,302,10,1674,3331,0.5026
HAYS,33308,45584,854,79746,134403,0.5933
HEMPHILL,1209,157,9,1375,2289,0.6007
HENDERSON,20891,5415,205,26511,51770,0.5121
HIDALGO,46505,104416,834,151755,361562,0.4197
HILL,8927,2443,63,11433,22743,0.5027
HOCKLEY,4844,1211,39,6094,13582,0.4487
HOOD,20090,4720,195,25005,40835,0.6123
HOPKINS,9306,2545,69,11920,22706,0.525
HOUSTON,5552,1772,36,7360,13090,0.5623
HOWARD,5651,1693,60,7404,16968,0.4364
HUDSPETH,509,407,17,933,1922,0.4854
HUNT,21115,7151,222,28488,55193,0.5162
HUTCHINSON,5854,753,35,6642,13547,0.4903
IRION,636,96,6,738,1314,0.5616
JACK,2498,296,19,2813,5082,0.5535
JACKSON,3991,832,17,4840,9195,0.5264
JASPER,9504,2282,47,11833,22848,0.5179
JEFF DAVIS,683,466,28,1177,1719,0.6847
JEFFERSON,36731,37128,380,74239,148344,0.5005
JIM HOGG,410,1060,8,1478,3833,0.3856
JIM WELLS,4520,5331,49,9900,26438,0.3745
JOHNSON,39571,12411,454,52436,97157,0.5397
JONES,4115,832,37,4984,10024,0.4972
KARNES,2900,1203,33,4136,8071,0.5125
KAUFMAN,26118,12002,252,38372,72579,0.5287
KENDALL,15292,4340,164,19796,30774,0.6433
KENEDY,100,77,3,180,309,0.5825
KENT,288,44,5,337,588,0.5731
KERR,16822,5198,185,22205,35854,0.6193
KIMBLE,1495,195,14,1704,2908,0.586
KING,124,6,1,131,184,0.712
KINNEY,827,358,14,1199,2255,0.5317
KLEBERG,4081,4456,59,8596,18186,0.4727
KNOX,855,229,9,1093,2434,0.4491
LAMAR,12711,3731,126,16568,31591,0.5245
LAMB,2741,699,17,3457,8096,0.427
LAMPASAS,5836,1569,65,7470,14099,0.5298
LASALLE,673,813,3,1489,4300,0.3463
LAVACA,6688,1019,30,7737,13234,0.5846
LEE,4487,1322,38,5847,10453,0.5594
LEON,5711,855,23,6589,11163,0.5903
LIBERTY,16041,4421,114,20576,43981,0.4678
LIMESTONE,5211,1672,33,6916,13621,0.5077
LIPSCOMB,942,116,9,1067,1988,0.5367
LIVE OAK,3029,601,21,3651,7240,0.5043
LLANO,7954,2124,76,10154,15758,0.6444
LOVING,47,6,1,54,121,0.4463
LUBBOCK,58780,32068,731,91579,175881,0.5207
LYNN,1369,323,5,1697,3945,0.4302
MADISON,3033,780,18,3831,7428,0.5158
MARION,2448,1018,31,3497,7368,0.4746
MARTIN,1297,243,14,1554,3252,0.4779
MASON,1560,402,5,1967,2956,0.6654
MATAGORDA,7330,3049,78,10457,21654,0.4829
MAVERICK,2951,7727,98,10776,31453,0.3426
MCCULLOCH,2245,400,26,2671,5243,0.5094
MCLENNAN,45855,28452,568,74875,139699,0.536
MCMULLEN,387,41,2,430,704,0.6108
MEDINA,11444,4621,114,16179,31354,0.516
MENARD,632,145,6,783,1443,0.5426
MIDLAND,32867,9723,365,42955,84393,0.509
MILAM,5922,1997,68,7987,15038,0.5311
MILLS,1764,229,11,2004,3426,0.5849
MITCHELL,1585,323,5,1913,4562,0.4193
MONTAGUE,6424,941,56,7421,13588,0.5461
MONTGOMERY,137395,51268,1433,190096,333488,0.57
MOORE,3248,787,25,4060,9764,0.4158
MORRIS,2953,1260,21,4234,8302,0.51
MOTLEY,483,40,4,527,847,0.6222
NACOGDOCHES,13775,7732,126,21633,36993,0.5848
NAVARRO,10391,3918,107,14416,28641,0.5033
NEWTON,3660,993,23,4676,9293,0.5032
NOLAN,3120,928,26,4074,8778,0.4641
NUECES,45956,47392,719,94067,205176,0.4585
OCHILTREE,2160,230,25,2415,5216,0.463
OLDHAM,732,82,2,816,1417,0.5759
ORANGE,21164,5050,118,26332,53392,0.4932
PALO PINTO,7547,1837,46,9430,17984,0.5244
PANOLA,7120,1598,31,8749,16392,0.5337
PARKER,44071,9956,468,54495,91858,0.5933
PARMER,1675,372,10,2057,4428,0.4645
PECOS,2161,1339,20,3520,8223,0.4281
POLK,12794,3850,106,16750,38018,0.4406
POTTER,16689,7521,214,24424,55580,0.4394
PRESIDIO,436,1221,10,1667,4884,0.3413
RAINS,3702,681,23,4406,7668,0.5746
RANDALL,38479,9613,363,48455,87827,0.5517
REAGAN,692,136,6,834,1845,0.452
REAL,1311,245,8,1564,2590,0.6039
RED RIVER,3427,973,18,4418,8268,0.5343
REEVES,1128,1255,15,2398,7089,0.3383
REFUGIO,1636,847,9,2492,4949,0.5035
ROBERTS,441,19,0,460,707,0.6506
ROBERTSON,4295,1942,31,6268,11654,0.5378
ROCKWALL,26615,11754,330,38699,62933,0.6149
RUNNELS,2842,385,7,3234,6692,0.4833
RUSK,12597,3609,76,16282,31242,0.5212
SABINE,3456,496,15,3967,7802,0.5085
SAN AUGUSTINE,2266,734,16,3016,5989,0.5036
SAN JACINTO,7499,1785,55,9339,17976,0.5195
SAN PATRICIO,11335,6777,107,18219,41762,0.4363
SAN SABA,1811,247,11,2069,3737,0.5537
SCHLEICHER,735,209,8,952,1789,0.5321
SCURRY,3705,642,16,4363,9393,0.4645
SHACKELFORD,1174,103,4,1281,2320,0.5522
SHELBY,6008,1521,32,7561,15294,0.4944
SHERMAN,692,87,43,822,1535,0.5355
SMITH,53760,23182,458,77400,134712,0.5746
SOMERVELL,3033,633,25,3691,6287,0.5871
STARR,2443,8273,68,10784,33110,0.3257
STEPHENS,2631,324,13,2968,5573,0.5326
STERLING,442,44,0,486,880,0.5523
STONEWALL,497,112,5,614,957,0.6416
SUTTON,934,265,7,1206,2478,0.4867
SWISHER,1461,420,14,1895,3968,0.4776
TARRANT,309189,313497,5208,627894,1122597,0.5593
TAYLOR,29811,10489,357,40657,80168,0.5071
TERRELL,323,139,5,467,694,0.6729
TERRY,2169,629,15,2813,6633,0.4241
THROCKMORTON,617,77,9,703,1219,0.5767
TITUS,5685,2265,55,8005,17020,0.4703
TOM GREEN,24648,9690,292,34630,66826,0.5182
TRAVIS,119278,359772,5154,484204,775950,0.624
TRINITY,4146,998,31,5175,11455,0.4518
TYLER,5919,1185,35,7139,13725,0.5201
UPSHUR,11529,2364,91,13984,27708,0.5047
UPTON,854,169,8,1031,2116,0.4872
UVALDE,4348,3528,59,7935,17118,0.4635
VAL VERDE,5345,5955,105,11405,27972,0.4077
VAN ZANDT,15182,2634,116,17932,36982,0.4849
VICTORIA,19005,8046,157,27208,55473,0.4905
WALKER,11535,6186,132,17853,33422,0.5342
WALLER,10167,6335,101,16603,32584,0.5095
WARD,2096,800,24,2920,6522,0.4477
WASHINGTON,10134,3263,95,13492,23253,0.5802
WEBB,13814,35159,408,49381,130784,0.3776
WHARTON,9094,3793,55,12942,25132,0.515
WHEELER,1679,125,6,1810,3415,0.53
WICHITA,23648,9971,299,33918,81419,0.4166
WILBARGER,2639,776,24,3439,8134,0.4228
WILLACY,1527,2773,25,4325,12405,0.3486
WILLIAMSON,99857,105850,2514,208221,331985,0.6272
WILSON,13025,4567,127,17719,32537,0.5446
WINKLER,1123,321,11,1455,3870,0.376
WISE,19023,3915,179,23117,41749,0.5537
WOOD,13987,2635,118,16740,30065,0.5568
YOAKUM,1558,335,10,1903,4264,0.4463
YOUNG,5543,821,41,6405,11854,0.5403
ZAPATA,821,1392,10,2223,7587,0.293
ZAVALA,589,2313,15,2917,8157,0.3576
